,artist
481,Bamdamel
482,Vinícius Calderoni
483,DJ Olliver
484,Nega Duda
485,Lincoln & Duas Medidas
486,DJ Kevin
487,Mc Nando
488,Micael
489,Quinho
490,Pratagy
491,Music Falcon
492,Mc Kauan
493,João e os Poetas de Cabelo Solto
494,Alan Bernardes
495,DJ Bill
496,Pearls Negras
497,João Selva
498,Hanoi Hanoi
499,Rogê
500,Marcos e Belutti
501,Dominguinhos Do Estacio
502,Troá!
503,againe
504,IZENZÊÊ
505,Domenico Lancellotti
506,Gilberto Gil & Jorge Ben
507,Pedro Luís
508,Renan Cavolik
509,Daya Luz
510,Luneta Mágica
511,Lilian
512,Israel Salazar
513,Forró Cintura de mola
514,César Lacerda
515,Grupo Ofá
516,Samuel Rosa
517,Antonio Marcos
518,Vinicius Cantuária
519,MC Fefe Original
520,Davi Bandeira
521,Gloria Bomfim
522,Database
523,DJ Metralha Original
524,Suéteres
525,Jennifer Souza
526,Beto Villares
527,Indie Space
528,QINHONES
529,Brylho
530,ROSABEGE
531,MC Gury
532,T'NT
533,Vivian Kuczynski
534,Barões da Pisadinha
535,Joe Kinni
536,Domenico+2
537,Caxabaxa
538,Androide Sem Par
539,Marcosd
540,DJ Kelvinho Patatah
541,Waguinho
542,Dois Quartos
543,Chá de Gim
544,Retrofoguetes
545,DJ GH7
546,Mc Marlon PH
547,Tom & Joyce
548,Gil Bala
549,Banda O Metrô
550,Saigenji
551,Gabriel Sater
552,Batz Ninja
553,DJ VITINHO BEAT
554,Wander Pires
555,Jonathan Ferr
556,Apollo Nove
557,Woo2tech
558,Mc Linn da Quebrada
559,Edu Chociay
560,Canários do Reino
561,Alaídenegão
562,Diva Depressão
563,Ana Olic
564,Seketh Bárbara
565,Mc Moana
566,Pejota
567,Lovefoxxx
568,MC FLESHINHO
569,Thaíde
570,Sonia Rosa
571,Paquitas
572,Kyber Krystals
573,Neto LX
574,Os Digitalistas
575,Matheus Queiroz
576,Tiago Arrais
577,Juliana Perdigão
578,Dandis
579,Emerson Dias
580,Lais Bianchessi
581,Noahs
582,Capela
583,Canindé
584,Lua
585,Alok & Bruno Martini
586,Orquestra de Música Popular do Corpo de Bombeiros
587,Solveris
588,Indigo Mood
589,Pandeiro do Mestre
590,kaio bruno dias
591,Arnaldo Antunes/Carlinhos Brown/Marisa Monte
592,Fiddy
593,Prettos
594,Leuriscleia
595,Vovô Bebê
596,A Filial
597,DJ CARLINHOS DA S.R
598,Moacyr Luz e Samba do Trabalhador
599,DJ Guiizinho
600,Efemero
601,Bemvirá
602,Ó do Forró
603,Pedrinho Pegação
604,Mc Pensador
605,Judit
606,Gilsinho
607,CORVINA DJ
608,Devinho Novaes O Boyzinho
609,DJ Dudu Rody
610,Villa Baggage
611,Banda A Loba
612,Leonardo Marques
613,Binaryh
614,DJ Cleitinho
615,J.B. de Carvalho
616,Luz Ametista
617,Daniel Profeta
618,Mattilha
619,Morttagua
620,Leandro Lehart
621,Renan Inquérito
622,Alice Guél
623,Juliana Silveira
624,Leonel Gomez
625,"Elomar, Geraldo Azevedo, Vital Farias, Xangai"
626,Tita Lima
627,Myllena
628,Tinga
629,Bia Doxum
630,Pezão
631,Mc Dexter Ramon
632,CSS Feat. Ssion
633,DJ RD DA DZ7
634,Bratislava
635,Quartabê
636,Toots Thielemans & Elis Regina
637,Jaffar Bambirra
638,Pedro Altério
639,Léa Mendonça
640,Luísa Maita
641,Elza Soares e Pitty
642,São Yantó
643,Robyssão
644,Socorro Lira
645,SPINARDI
646,LANINHA SHOW
647,luiz gabriel lopes
648,Sergio Mendes and Brasil '77
649,Adelmario Coelho
650,Democustico
651,nanan
652,Rock Your Babies
653,Roberta Nistra
654,Mc Matheuzinho
655,Ricotta
656,Cais
657,Marcelo Perdido
658,Igor Kannário
659,Grupo Porco
660,"Kiko Dinucci, Juçara Marçal, Thiago França"
661,Noca da Portela
662,Jonathan Silva
663,Virgulóides
664,Patrões da Pisadinha
665,Dj dzs
666,DJ ALMEIDA ORIGINAL
667,Bluebell
668,Buttons
669,NOGUERA DJ
670,grupo pagode
671,Luiz Ayrao
672,Cazuza & Barão Vermelho
673,Letieres Leite
674,Albertinho dos Reys
675,Alceu Valença & Geraldo Azevedo
676,Os Dentes
677,Coral Filhos de Exu
678,Atchim & Espirro
679,Tenda de Umbanda Caboclo Caramã e Pai Cesário
680,The Soundtrackers
681,André Whoong
682,Marinês E Sua Gente
683,Ventania Banda Hippie
684,Carlos Careqa
685,Fausto Fawcett E Os Robôs Efêmeros
686,Manolo
687,Zero to Hero
688,Juliana R.
689,Dj Saddam
690,YUYU20
691,Terumi
692,Raulzito E Os Panteras
693,Marcos Antônio
694,Maiara e Maraisa
695,Bruno Souto
696,Blancah
697,Friends from Rio
698,Nelsinho Rodrigues
699,Dinnamarque
700,Reddy Allor
701,Os Tres Morais
702,Comunidade Evangélica Internacional da Zona Sul
703,MC Gi
704,Lafusa
705,Arthur Nestrovski
706,Acadêmicos do Salgueiro
707,She Won't Live
708,Banda Os Brothers
709,sugarrluck
710,Nove Zero Nove
711,Black Mantra
712,Formidável Família Musical
713,Choque do Magriça
714,Geronimo Santana
715,bandavoou
716,Tião Carvalho
717,Rubinho Jacobina
718,Arnaldo & Patrulha Do Espaço
719,Leo Estakazero
720,Diogo Defante
721,Cilibrinas do Éden
722,Juliano Gauche
723,Lucio Sanfilippo
724,Saulo Fernandes
725,Edgard Scandurra
726,Bruno Ribas
727,Periferia S/A
728,Bebi Monsuta
729,Sérgio Reis
730,Guilherme Held
731,"Antonio Pinto, Ed Cortes"
732,Chininha
733,Cila Do Coco
734,MC WC
735,Unidade Imaginária
736,Biggs
737,All The Postcards
738,Lô Borges/Milton Nascimento
739,Scrimmage
740,Rick Joe
741,Bituca
742,Flow & Zeo
743,Thullio Milionário
744,Chininha & Príncipe
745,Toca do Vale
746,Kart Love
747,Zé Paulo Sierra
748,Ithamara Koorax
749,Luna Di
750,Vavá
751,Marina Diniz
752,Orlann Divo
753,Dr. Silvana & Cia
754,Nathan Barone
755,Black Lines
756,Tainá
757,Mc Pkzinho
758,marcela bellas
759,Bande Dessinée
760,JUNIOR VIANNA
761,Gilberto Gil & Caetano Veloso
762,malfeitona
763,Juccas
764,Stop Play Moon
765,Gerson Borges
766,Mussoumano
767,Tităs
768,Beto Mejía
769,Ruivinha de Marte
770,Isadora Melo
771,Bonde do Metaleiro
772,Gasparzinho
773,Arthur Valladão
774,Liah
775,Mc M7
776,Peixelétrico
777,Don Beto
778,Marcelo Yuka
779,Alok & Bhaskar
780,Let's Go!
781,Rico Ayade
782,Georgia Brown
783,Zignal
784,Banzé
785,DJ YAN DO FLAMENGO
786,Serginho Porto
787,Mental Abstrato
788,O Grito
789,DJ NONATO NC
790,Back in Drive
791,Ricardo Cruz
792,Sioux 66
793,DJ KS 011
794,Blacci
795,Samba Enredo
796,Radamés Gnattali
797,Os Cobras
798,Padre Alessandro Campos
799,Breaking Conspiracy
800,MC Gorila
801,Terceira Edição
802,Durval Lelys
803,Rosinha De Valencia
804,Onagra Claudique
805,Júpiter Maçã & Os Pereiras Azuis
806,Canhotinho
807,Running Like Lions
808,Beerlover
809,sondplay
810,DJ Magrinho do PU
811,Heart-Shaped Tracks
812,Bernardo Bauer
813,Nazireu Rupestre
814,Luis Kiari
815,Biel rocha
816,Memória Viva Guarani
817,Leandro Lopes
818,Luanzinho Moraes
819,Rodrigo del Arc
820,Waldonys
821,Jorge Alabe
822,Unplugged
823,Adriana Quadros
824,Infante
825,João Gilberto
826,"Yo-Yo Ma, Kathryn Stott"
827,Katia Cilene
828,Lenine e Suzano
829,Bedhead Badhead
830,Zé Ricardo e Thiago
831,Canção Nova
832,Edu Ribeiro & Cativeiro
